order_id,order_date,customer_id,product_id,category,subcategory,quantity,unit_price,discount,sales,cost,profit,region,segment,order_hour,payment_method,rating,cancelled
O100029,2023-03-01 19:26:00,C00279,P0093,Sports,Fitness,3,215.75,0,647.25,362.76,284.49,North,Consumer,19,Debit Card,4.0,True
O100030,2023-02-17 22:18:00,C00166,P0139,Toys,Action Figures,1,377.74,0,377.74,242.0,135.74,North,Consumer,22,Credit Card,4.0,False
O100031,2022-08-22 21:21:00,C00603,P0132,Beauty,Skin Care,1,308.23,10,298.23,240.22,58.01,Central,Corporate,21,UPI,5.0,False
O100032,2023-11-08 10:59:00,C00195,P0112,Toys,Action Figures,1,267.14,0,267.14,163.38,103.76,West,Consumer,10,UPI,4.0,False
O100033,2023-11-18 14:50:00,C00277,P0147,Beauty,Makeup,1,136.41,0,136.41,111.2,25.21,North,Consumer,14,Netbanking,5.0,False
O100034,2023-10-09 17:34:00,C00061,P0141,Home & Kitchen,Kitchen Appliances,1,327.3,15,312.3,236.8,75.5,South,Consumer,17,Credit Card,2.0,False
O100035,2022-05-16 04:17:00,C00070,P0010,Electronics,Mobile,1,565.11,5,560.11,364.49,195.62,North,Home Office,4,UPI,3.0,False
O100036,2024-03-08 05:38:00,C00154,P0028,Clothing,Men,2,345.08,0,690.16,551.66,138.5,West,Consumer,5,UPI,5.0,False
O100037,2024-04-27 02:31:00,C00038,P0035,Grocery,Beverages,2,398.71,0,797.42,506.4,291.02,Central,Corporate,2,Credit Card,5.0,False
O100038,2022-03-18 06:58:00,C00050,P0072,Toys,Educational,1,484.56,0,484.56,315.42,169.14,West,Consumer,6,UPI,2.0,False
O100039,2023-11-28 15:46:00,C00284,P0134,Grocery,Snacks,2,356.83,0,713.66,501.82,211.84,North,Consumer,15,Credit Card,2.0,False
O100040,2022-09-29 06:46:00,C00769,P0095,Toys,Educational,1,252.95,15,237.95,181.3,56.65,South,Corporate,6,Netbanking,5.0,False
O100041,2022-04-01 21:54:00,C00539,P0118,Toys,Puzzles,1,135.8,0,135.8,123.93,11.87,South,Corporate,21,Debit Card,5.0,False
O100042,2023-10-02 00:36:00,C00634,P0097,Beauty,Makeup,1,335.53,0,335.53,197.51,138.02,North,Consumer,0,Credit Card,5.0,False
O100043,2023-10-16 14:42:00,C00019,P0023,Home & Kitchen,Furniture,4,308.1,0,1232.4,925.84,306.56,North,Corporate,14,Credit Card,5.0,False
O100044,2022-07-29 06:34:00,C00308,P0141,Home & Kitchen,Kitchen Appliances,1,327.3,0,327.3,236.8,90.5,North,Home Office,6,Credit Card,3.0,False
O100045,2023-05-17 05:04:00,C00298,P0043,Grocery,Staples,1,286.12,0,286.12,227.32,58.8,South,Consumer,5,Debit Card,5.0,True
O100046,2022-04-14 03:24:00,C00266,P0018,Home & Kitchen,Kitchen Appliances,2,337.71,5,670.42,431.48,238.94,Central,Consumer,3,Credit Card,4.0,False
O100047,2024-07-02 19:22:00,C00075,P0044,Home & Kitchen,Decor,1,263.87,0,263.87,176.48,87.39,South,Consumer,19,UPI,4.0,False
O100048,2024-08-11 18:08:00,C00768,P0078,Electronics,Accessories,1,464.12,15,449.12,327.34,121.78,West,Consumer,18,Debit Card,4.0,False
O100049,2024-08-11 15:14:00,C00016,P0057,Toys,Puzzles,1,199.29,10,189.29,158.64,30.65,South,Consumer,15,Credit Card,5.0,False
O100050,2023-11-08 10:29:00,C00472,P0150,Toys,Educational,1,335.64,5,330.64,255.13,75.51,West,Corporate,10,Credit Card,4.0,False
O100051,2023-08-02 11:38:00,C00441,P0010,Electronics,Mobile,1,565.11,0,565.11,364.49,200.62,South,Consumer,11,Debit Card,3.0,False
O100052,2022-05-26 09:34:00,C00699,P0073,Beauty,Makeup,2,295.7,5,586.4,331.14,255.26,North,Home Office,9,Credit Card,5.0,False
O100053,2024-09-14 12:04:00,C00382,P0066,Grocery,Snacks,1,462.75,15,447.75,287.51,160.24,East,Corporate,12,Debit Card,3.0,False
O100054,2023-12-02 17:44:00,C00742,P0021,Sports,Outdoor,1,475.88,15,460.88,379.46,81.42,Central,Consumer,17,Credit Card,1.0,False
O100055,2024-09-23 03:37:00,C00137,P0043,Grocery,Staples,4,286.12,10,1134.48,909.28,225.2,South,Consumer,3,Credit Card,4.0,False
O100056,2024-04-11 02:38:00,C00049,P0034,Toys,Puzzles,1,173.07,10,163.07,100.14,62.93,South,Consumer,2,UPI,5.0,False
O100057,2022-05-06 02:13:00,C00742,P0128,Toys,Puzzles,1,232.04,15,217.04,149.9,67.14,Central,Consumer,2,Netbanking,3.0,False
O100058,2024-07-16 17:18:00,C00648,P0017,Clothing,Women,2,178.46,5,351.92,253.02,98.9,Central,Consumer,17,Credit Card,4.0,False
O100059,2023-09-16 13:45:00,C00512,P0106,Clothing,Kids,2,331.07,10,652.13,472.1,180.03,South,Consumer,13,Credit Card,,False
O100060,2022-09-19 09:03:00,C00355,P0140,Clothing,Kids,1,144.68,0,144.68,86.83,57.85,East,Consumer,9,Credit Card,4.0,False
O100061,2022-08-13 09:55:00,C00439,P0041,Clothing,Women,1,388.62,15,373.62,237.0,136.62,West,Consumer,9,Debit Card,4.0,False
O100062,2024-04-11 12:27:00,C00796,P0134,Grocery,Snacks,4,356.83,0,1427.32,1003.64,423.68,South,Consumer,12,Debit Card,5.0,False
O100063,2024-01-08 13:09:00,C00779,P0080,Clothing,Men,2,58.42,15,101.83,94.68,7.15,South,Consumer,13,Credit Card,5.0,False
O100064,2022-10-22 23:56:00,C00798,P0027,Toys,Puzzles,1,161.88,0,161.88,106.37,55.51,North,Home Office,23,Credit Card,4.0,False
O100065,2024-07-22 22:38:00,C00579,P0139,Toys,Action Figures,1,397.62,5,392.62,242.0,150.62,West,Corporate,22,Debit Card,4.0,False
O100066,2023-12-29 07:11:00,C00497,P0039,Home & Kitchen,Kitchen Appliances,1,140.62,10,130.62,104.15,26.47,West,Consumer,7,Debit Card,3.0,False
O100067,2023-07-06 13:59:00,C00494,P0149,Electronics,Accessories,4,562.63,0,2250.52,1426.92,823.6,East,Consumer,13,COD,4.0,False
O100068,2022-08-20 18:30:00,C00472,P0094,Grocery,Staples,1,260.68,15,245.68,201.96,43.72,West,Corporate,18,Debit Card,2.0,False
O100069,2023-07-27 14:33:00,C00299,P0082,Beauty,Makeup,1,342.85,10,332.85,233.9,98.95,South,Corporate,14,Credit Card,4.0,False
O100070,2022-06-09 21:40:00,C00026,P0044,Home & Kitchen,Decor,1,224.29,0,224.29,176.48,47.81,South,Consumer,21,UPI,2.0,False
O100071,2022-01-23 15:29:00,C00222,P0113,Clothing,Women,1,261.15,10,251.15,174.35,76.8,West,Consumer,15,UPI,4.0,False
O100072,2023-08-27 09:10:00,C00430,P0037,Beauty,Skin Care,1,325.06,10,315.06,220.04,95.02,North,Consumer,9,UPI,3.0,False
O100073,2022-05-06 20:30:00,C00687,P0088,Electronics,Accessories,1,539.45,0,539.45,408.55,130.9,East,Consumer,20,UPI,5.0,False
O100074,2022-02-25 09:31:00,C00518,P0018,Home & Kitchen,Kitchen Appliances,1,337.71,0,337.71,215.74,121.97,West,Corporate,9,Netbanking,5.0,False
O100075,2023-07-30 08:54:00,C00565,P0041,Clothing,Women,1,388.62,0,388.62,237.0,151.62,North,Consumer,8,UPI,2.0,False
O100076,2024-07-03 11:51:00,C00311,P0037,Beauty,Skin Care,1,325.06,15,310.06,220.04,90.02,North,Corporate,11,Credit Card,5.0,False
O100077,2022-03-09 10:05:00,C00301,P0139,Toys,Action Figures,2,397.62,0,795.24,484.0,311.24,Central,Home Office,10,Netbanking,3.0,False
O100078,2024-02-24 07:42:00,C00041,P0005,Home & Kitchen,Furniture,1,244.71,0,244.71,183.9,60.81,East,Consumer,7,Credit Card,3.0,False
O100079,2023-06-26 03:03:00,C00685,P0142,Electronics,Accessories,1,656.86,5,651.86,428.21,223.65,West,Consumer,3,Credit Card,3.0,False
O100080,2023-04-24 12:43:00,C00750,P0076,Home & Kitchen,Kitchen Appliances,2,398.63,0,797.26,517.38,279.88,West,Consumer,12,Debit Card,4.0,False
O100081,2024-07-08 12:43:00,C00200,P0098,Grocery,Staples,1,314.76,15,299.76,263.09,36.67,North,Home Office,12,COD,5.0,False
O100082,2023-12-26 13:39:00,C00020,P0010,Electronics,Mobile,3,565.11,0,1695.33,1093.47,601.86,East,Consumer,13,Netbanking,5.0,False
O100083,2024-08-02 21:47:00,C00282,P0120,Clothing,Men,1,390.23,10,380.23,256.57,123.66,West,Home Office,21,UPI,4.0,False
O100084,2023-01-04 10:35:00,C00248,P0035,Grocery,Beverages,1,398.71,0,398.71,253.2,145.51,South,Consumer,10,Credit Card,5.0,False
O100085,2024-07-02 11:14:00,C00682,P0142,Electronics,Accessories,1,656.86,0,656.86,428.21,228.65,North,Consumer,11,Credit Card,5.0,False
O100086,2023-03-21 19:40:00,C00615,P0130,Grocery,Staples,2,239.58,0,479.16,356.78,122.38,South,Consumer,19,Credit Card,4.0,False
O100087,2023-01-14 03:44:00,C00027,P0040,Beauty,Hair Care,1,323.62,5,318.62,217.52,101.1,North,Consumer,3,UPI,5.0,False
O100088,2023-07-21 13:44:00,C00049,P0074,Sports,Indoor,1,487.76,0,487.76,339.44,148.32,South,Consumer,13,Credit Card,5.0,False
O100089,2022-05-04 08:52:00,C00527,P0104,Home & Kitchen,Furniture,1,203.73,0,203.73,145.67,58.06,North,Consumer,8,Debit Card,2.0,False
O100090,2023-01-01 20:31:00,C00195,P0016,Grocery,Staples,1,232.53,5,227.53,178.26,49.27,West,Consumer,20,Credit Card,4.0,False
O100091,2023-06-15 03:02:00,C00305,P0135,Sports,Indoor,1,189.67,15,174.67,125.46,49.21,South,Consumer,3,Credit Card,4.0,False
O100092,2022-11-01 20:40:00,C00667,P0123,Toys,Educational,2,468.34,15,921.68,581.62,340.06,North,Consumer,20,Debit Card,5.0,False
O100093,2024-03-12 18:00:00,C00448,P0034,Toys,Puzzles,1,147.11,5,142.11,100.14,41.97,North,Home Office,18,Debit Card,4.0,False
O100094,2022-05-24 17:14:00,C00260,P0091,Beauty,Skin Care,1,311.65,15,296.65,180.12,116.53,North,Consumer,17,Netbanking,4.0,False
O100095,2024-01-06 10:43:00,C00761,P0024,Clothing,Men,2,129.03,15,243.06,155.54,87.52,Central,Consumer,10,COD,4.0,False
O100096,2023-11-28 02:53:00,C00130,P0063,Home & Kitchen,Kitchen Appliances,1,150.52,0,150.52,112.29,38.23,West,Consumer,2,UPI,5.0,False
O100097,2024-02-26 21:12:00,C00745,P0032,Sports,Outdoor,1,522.27,0,522.27,365.05,157.22,North,Corporate,21,UPI,5.0,False
O100098,2024-06-15 23:12:00,C00652,P0107,Electronics,Mobile,1,726.34,0,726.34,558.74,167.6,South,Consumer,23,UPI,4.0,False
O100099,2022-05-10 17:41:00,C00333,P0095,Toys,Educational,1,252.95,5,247.95,181.3,66.65,Central,Home Office,17,COD,5.0,False
O100100,2023-11-23 23:02:00,C00197,P0085,Clothing,Women,1,202.98,15,187.98,142.33,45.65,West,Home Office,23,UPI,4.0,False
O100101,2022-11-02 23:37:00,C00038,P0046,Home & Kitchen,Decor,1,213.62,0,213.62,157.83,55.79,Central,Corporate,23,UPI,4.0,True
O100102,2022-04-04 07:44:00,C00700,P0047,Toys,Action Figures,1,244.72,15,229.72,159.01,70.71,South,Consumer,7,Credit Card,5.0,False
O100103,2024-07-23 19:10:00,C00649,P0145,Grocery,Beverages,1,331.19,0,331.19,213.65,117.54,North,Consumer,19,Credit Card,4.0,False
O100104,2022-05-10 06:27:00,C00110,P0099,Sports,Fitness,1,285.58,15,270.58,178.81,91.77,South,Corporate,6,UPI,5.0,False
O100105,2022-10-09 10:53:00,C00564,P0058,Electronics,Accessories,1,462.89,10,452.89,338.86,114.03,Central,Corporate,10,Credit Card,5.0,False
O100106,2024-04-30 05:44:00,C00497,P0086,Home & Kitchen,Decor,1,239.79,5,234.79,169.91,64.88,West,Consumer,5,Credit Card,4.0,False
O100107,2024-02-10 05:01:00,C00161,P0061,Home & Kitchen,Furniture,1,242.5,0,242.5,160.24,82.26,North,Consumer,5,Credit Card,5.0,False
O100108,2023-08-05 13:44:00,C00726,P0010,Electronics,Mobile,1,565.11,0,565.11,364.49,200.62,South,Corporate,13,Credit Card,5.0,False
O100109,2023-05-05 05:39:00,C00320,P0018,Home & Kitchen,Kitchen Appliances,2,337.71,15,660.42,431.48,228.94,South,Consumer,5,Debit Card,1.0,False
O100110,2023-09-09 11:26:00,C00623,P0089,Electronics,Audio,1,436.43,0,436.43,324.17,112.26,North,Consumer,11,Credit Card,4.0,False
O100111,2024-01-12 17:32:00,C00547,P0099,Sports,Fitness,1,300.61,15,285.61,178.81,106.8,North,Corporate,17,UPI,5.0,False
O100112,2022-11-02 21:54:00,C00588,P0037,Beauty,Skin Care,2,325.06,0,650.12,440.08,210.04,South,Home Office,21,UPI,5.0,False
O100113,2023-08-07 06:27:00,C00273,P0121,Sports,Outdoor,1,394.92,5,389.92,260.86,129.06,South,Home Office,6,Credit Card,3.0,False
O100114,2022-12-27 05:50:00,C00589,P0003,Toys,Puzzles,1,377.72,0,377.72,291.99,85.73,North,Home Office,5,Credit Card,5.0,False
O100115,2023-10-30 13:12:00,C00304,P0033,Beauty,Hair Care,1,298.38,0,298.38,236.55,61.83,Central,Consumer,13,Credit Card,5.0,False
O100116,2023-02-14 12:57:00,C00785,P0031,Grocery,Beverages,1,227.8,10,217.8,149.33,68.47,North,Consumer,12,Debit Card,2.0,False
O100117,2024-07-20 05:24:00,C00274,P0024,Clothing,Men,1,129.03,15,114.03,77.77,36.26,North,Home Office,5,Credit Card,5.0,False
O100118,2023-11-19 04:02:00,C00590,P0055,Electronics,Mobile,1,623.72,0,623.72,445.8,177.92,West,Consumer,4,Credit Card,4.0,False
O100119,2023-12-05 07:56:00,C00647,P0090,Home & Kitchen,Decor,4,361.59,15,1431.36,955.28,476.08,West,Consumer,7,COD,2.0,False
O100120,2023-04-16 02:26:00,C00706,P0044,Home & Kitchen,Decor,1,263.87,0,263.87,176.48,87.39,North,Consumer,2,Debit Card,3.0,False
O100121,2024-05-26 23:55:00,C00074,P0032,Sports,Outdoor,1,522.27,5,517.27,365.05,152.22,South,Consumer,23,Debit Card,2.0,False
O100122,2022-11-02 18:57:00,C00103,P0016,Grocery,Staples,1,232.53,0,232.53,178.26,54.27,West,Consumer,18,Credit Card,4.0,False
O100123,2022-03-10 13:33:00,C00492,P0143,Sports,Fitness,1,107.1,15,92.1,64.44,27.66,East,Consumer,13,Netbanking,4.0,False
O100124,2022-01-26 22:46:00,C00251,P0037,Beauty,Skin Care,1,292.55,0,292.55,220.04,72.51,North,Corporate,22,Debit Card,5.0,False
O100125,2022-02-02 15:42:00,C00352,P0136,Toys,Action Figures,1,485.99,5,480.99,321.98,159.01,West,Consumer,15,Netbanking,3.0,True
O100126,2024-07-20 14:49:00,C00310,P0079,Electronics,Laptop,1,511.01,5,506.01,345.68,160.33,South,Consumer,14,Credit Card,2.0,False
O100127,2022-01-03 20:04:00,C00257,P0090,Home & Kitchen,Decor,1,325.43,0,325.43,238.82,86.61,East,Consumer,20,Debit Card,5.0,False
O100128,2023-03-01 21:05:00,C00692,P0149,Electronics,Accessories,1,478.24,15,463.24,356.73,106.51,South,Consumer,21,Wallet,4.0,False
O100129,2024-01-16 01:07:00,C00014,P0013,Electronics,Audio,1,529.04,10,519.04,400.67,118.37,South,Corporate,1,Credit Card,5.0,False
O100130,2022-05-18 17:45:00,C00496,P0132,Beauty,Skin Care,2,308.23,0,616.46,480.44,136.02,West,Consumer,17,Credit Card,5.0,False
O100131,2023-03-06 23:48:00,C00639,P0144,Sports,Indoor,1,322.16,0,322.16,253.38,68.78,West,Consumer,23,Debit Card,4.0,False
O100132,2024-02-03 11:28:00,C00242,P0127,Sports,Outdoor,1,181.14,0,181.14,139.76,41.38,South,Consumer,11,Debit Card,4.0,False
O100133,2023-08-22 14:39:00,C00489,P0016,Grocery,Staples,1,220.9,15,205.9,178.26,27.64,West,Consumer,14,Netbanking,1.0,False
O100134,2024-07-26 02:05:00,C00382,P0007,Home & Kitchen,Kitchen Appliances,1,440.56,0,440.56,341.34,99.22,East,Corporate,2,COD,5.0,False
O100135,2022-08-18 22:09:00,C00701,P0087,Beauty,Hair Care,1,409.85,0,409.85,251.15,158.7,South,Consumer,22,Debit Card,4.0,False
O100136,2022-09-28 15:22:00,C00045,P0098,Grocery,Staples,1,331.33,15,316.33,263.09,53.24,South,Corporate,15,Credit Card,5.0,True
O100137,2023-04-21 16:41:00,C00445,P0123,Toys,Educational,1,468.34,0,468.34,290.81,177.53,East,Corporate,16,UPI,3.0,False
O100138,2024-06-30 14:19:00,C00062,P0009,Clothing,Men,1,243.66,0,243.66,147.13,96.53,West,Consumer,14,Credit Card,5.0,False
O100139,2023-08-14 01:09:00,C00289,P0042,Beauty,Skin Care,1,320.56,0,320.56,183.17,137.39,West,Consumer,1,UPI,5.0,False
O100140,2023-01-09 05:53:00,C00162,P0035,Grocery,Beverages,1,398.71,0,398.71,253.2,145.51,Central,Consumer,5,Credit Card,5.0,False
O100141,2023-06-18 11:11:00,C00119,P0118,Toys,Puzzles,1,159.76,0,159.76,123.93,35.83,West,Consumer,11,UPI,,False
O100142,2024-07-07 17:10:00,C00745,P0045,Clothing,Kids,1,122.58,0,122.58,94.15,28.43,North,Corporate,17,Debit Card,4.0,False
O100143,2024-07-27 10:09:00,C00383,P0023,Home & Kitchen,Furniture,1,308.1,10,298.1,231.46,66.64,South,Consumer,10,COD,5.0,False
O100144,2024-08-28 09:48:00,C00646,P0127,Sports,Outdoor,2,181.14,10,352.28,279.52,72.76,Central,Consumer,9,UPI,2.0,False
O100145,2022-08-19 23:30:00,C00561,P0101,Clothing,Men,1,130.16,10,120.16,97.21,22.95,South,Consumer,23,Credit Card,5.0,False
O100146,2023-03-28 14:22:00,C00189,P0005,Home & Kitchen,Furniture,1,271.9,10,261.9,183.9,78.0,North,Consumer,14,UPI,4.0,False
O100147,2023-07-24 06:01:00,C00499,P0031,Grocery,Beverages,1,227.8,5,222.8,149.33,73.47,East,Consumer,6,UPI,1.0,False
O100148,2024-03-18 06:31:00,C00287,P0063,Home & Kitchen,Kitchen Appliances,2,167.24,10,324.48,224.58,99.9,Central,Consumer,6,Wallet,2.0,False
O100149,2022-10-30 22:54:00,C00780,P0099,Sports,Fitness,2,300.61,0,601.22,357.62,243.6,West,Consumer,22,Credit Card,5.0,False
O100150,2024-07-01 17:05:00,C00327,P0040,Beauty,Hair Care,2,323.62,5,642.24,435.04,207.2,North,Consumer,17,UPI,4.0,False
O100151,2022-12-02 23:57:00,C00230,P0130,Grocery,Staples,2,215.62,5,426.24,356.78,69.46,South,Consumer,23,Credit Card,4.0,False
O100152,2023-03-02 09:30:00,C00641,P0150,Toys,Educational,1,285.29,0,285.29,255.13,30.16,South,Corporate,9,Wallet,4.0,False
O100153,2022-01-14 13:40:00,C00620,P0034,Toys,Puzzles,2,173.07,10,336.14,200.28,135.86,East,Consumer,13,Debit Card,4.0,False
O100154,2023-02-13 05:53:00,C00589,P0135,Sports,Indoor,1,189.67,5,184.67,125.46,59.21,North,Home Office,5,Credit Card,3.0,False
O100155,2023-09-15 15:35:00,C00169,P0087,Beauty,Hair Care,1,409.85,0,409.85,251.15,158.7,South,Consumer,15,Credit Card,5.0,False
O100156,2024-08-25 03:41:00,C00566,P0145,Grocery,Beverages,1,331.19,5,326.19,213.65,112.54,East,Consumer,3,Wallet,4.0,True
O100157,2023-07-22 15:04:00,C00233,P0102,Sports,Fitness,1,212.09,10,202.09,190.8,11.29,North,Home Office,15,Debit Card,4.0,False
O100158,2024-09-01 22:52:00,C00461,P0027,Toys,Puzzles,1,161.88,15,146.88,106.37,40.51,Central,Home Office,22,Debit Card,3.0,False
O100159,2022-04-30 04:20:00,C00583,P0103,Home & Kitchen,Kitchen Appliances,1,232.98,0,232.98,165.01,67.97,West,Consumer,4,Debit Card,5.0,False
O100160,2023-12-31 01:18:00,C00791,P0031,Grocery,Beverages,1,227.8,0,227.8,149.33,78.47,Central,Consumer,1,Debit Card,3.0,False
O100161,2022-07-13 19:48:00,C00318,P0083,Toys,Educational,1,477.35,0,477.35,374.59,102.76,North,Consumer,19,Netbanking,4.0,False
O100162,2024-01-13 03:34:00,C00439,P0015,Toys,Educational,2,93.01,0,186.02,138.26,47.76,West,Consumer,3,Credit Card,4.0,False
O100163,2024-09-20 13:21:00,C00381,P0100,Grocery,Snacks,1,271.85,0,271.85,204.04,67.81,North,Home Office,13,Debit Card,3.0,False
O100164,2022-08-22 13:29:00,C00431,P0061,Home & Kitchen,Furniture,1,242.5,0,242.5,160.24,82.26,North,Consumer,13,Wallet,4.0,False
O100165,2024-01-13 04:52:00,C00653,P0040,Beauty,Hair Care,1,291.26,10,281.26,217.52,63.74,West,Consumer,4,Debit Card,,False
O100166,2023-09-16 00:47:00,C00144,P0045,Clothing,Kids,1,122.58,15,107.58,94.15,13.43,North,Corporate,0,Credit Card,5.0,False
O100167,2022-09-24 02:27:00,C00267,P0138,Toys,Educational,1,261.35,5,256.35,161.68,94.67,South,Consumer,2,UPI,5.0,False
O100168,2022-05-02 15:07:00,C00290,P0136,Toys,Action Figures,1,485.99,0,485.99,321.98,164.01,East,Home Office,15,UPI,3.0,False
O100169,2023-02-25 18:57:00,C00594,P0013,Electronics,Audio,1,529.04,0,529.04,400.67,128.37,North,Home Office,18,Credit Card,5.0,False
O100170,2023-07-23 18:22:00,C00008,P0015,Toys,Educational,2,93.01,10,176.02,138.26,37.76,East,Corporate,18,UPI,4.0,False
O100171,2022-05-20 03:52:00,C00328,P0118,Toys,Puzzles,1,135.8,10,125.8,123.93,1.87,North,Consumer,3,Credit Card,5.0,False
O100172,2022-01-09 23:06:00,C00619,P0071,Grocery,Staples,2,343.37,15,671.74,389.48,282.26,South,Consumer,23,Debit Card,4.0,False
O100173,2022-08-08 05:53:00,C00479,P0051,Home & Kitchen,Furniture,1,321.95,5,316.95,263.1,53.85,South,Consumer,5,Credit Card,5.0,False
O100174,2023-10-06 03:29:00,C00756,P0009,Clothing,Men,1,243.66,5,238.66,147.13,91.53,South,Consumer,3,UPI,3.0,False
O100175,2022-03-25 02:20:00,C00266,P0014,Beauty,Skin Care,3,70.41,0,211.23,153.39,57.84,Central,Consumer,2,Debit Card,3.0,False
O100176,2024-06-28 07:35:00,C00023,P0089,Electronics,Audio,1,436.43,5,431.43,324.17,107.26,South,Consumer,7,Credit Card,5.0,False
O100177,2024-09-01 21:23:00,C00482,P0083,Toys,Educational,1,477.35,15,462.35,374.59,87.76,West,Consumer,21,Debit Card,5.0,False
O100178,2022-06-24 03:09:00,C00472,P0144,Sports,Indoor,1,322.16,10,312.16,253.38,58.78,West,Corporate,3,COD,3.0,False
O100179,2022-12-12 02:23:00,C00585,P0082,Beauty,Makeup,1,342.85,10,332.85,233.9,98.95,North,Consumer,2,Netbanking,4.0,False
O100180,2024-05-19 23:31:00,C00537,P0106,Clothing,Kids,1,331.07,10,321.07,236.05,85.02,West,Consumer,23,Debit Card,3.0,False
O100181,2024-03-30 11:30:00,C00192,P0018,Home & Kitchen,Kitchen Appliances,1,287.05,5,282.05,215.74,66.31,North,Consumer,11,Debit Card,5.0,False
O100182,2022-09-08 08:31:00,C00400,P0067,Home & Kitchen,Furniture,1,291.36,0,291.36,181.86,109.5,West,Home Office,8,Credit Card,3.0,False
